object_id,name,type,world_x,world_y,plane,orientation,texture_ids,current_material,current_authored_slot,observation_count,source_exports
1192,Flowers,GAME,3222,3205,0,1536,,UNKNOWN,0,1,chunk-3216-3200-20260828-095451
1192,Flowers,GAME,3222,3232,0,1024,,UNKNOWN,0,1,chunk-3216-3232-20260828-095423
1195,Flowers,GAME,3208,3236,0,1024,,UNKNOWN,0,2,chunk-3208-3232-20260828-095430|chunk-3208-3232-20260828-103429
1195,Flowers,GAME,3216,3234,0,0,,UNKNOWN,0,1,chunk-3216-3232-20260828-095423
1196,Flowers,GAME,3226,3211,0,1536,,UNKNOWN,0,1,chunk-3224-3208-20260828-102221
1196,Flowers,GAME,3226,3212,0,0,,UNKNOWN,0,1,chunk-3224-3208-20260828-102221
12348,Door,WALL,3207,3217,0,2|0,4,UNKNOWN,0,1,chunk-3200-3216-20260828-095435
1246,null,GROUND,3214,3239,0,2,,UNKNOWN,0,2,chunk-3208-3232-20260828-095430|chunk-3208-3232-20260828-103429
1247,null,GROUND,3205,3213,1,3,,UNKNOWN,0,1,chunk-3200-3208-20260828-102210
1247,null,GROUND,3205,3226,1,3,,UNKNOWN,0,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
1247,null,GROUND,3213,3238,0,0,,UNKNOWN,0,2,chunk-3208-3232-20260828-095430|chunk-3208-3232-20260828-103429
1247,null,GROUND,3228,3221,2,3,,UNKNOWN,0,1,chunk-3224-3216-20260828-103417
1247,null,GROUND,3247,3231,0,2,,UNKNOWN,0,1,chunk-3240-3224-20260828-095506
1248,null,GROUND,3204,3207,0,0,,UNKNOWN,0,1,chunk-3200-3200-20260828-095443
1248,null,GROUND,3204,3230,0,0,,UNKNOWN,0,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
1248,null,GROUND,3205,3208,0,2,,UNKNOWN,0,1,chunk-3200-3208-20260828-102210
1248,null,GROUND,3206,3223,2,3,,UNKNOWN,0,1,chunk-3200-3216-20260828-095435
1248,null,GROUND,3206,3229,0,1,,UNKNOWN,0,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
1248,null,GROUND,3207,3210,0,1,,UNKNOWN,0,1,chunk-3200-3208-20260828-102210
1248,null,GROUND,3216,3226,0,0,,UNKNOWN,0,1,chunk-3216-3224-20260828-102155
1248,null,GROUND,3227,3214,2,1,,UNKNOWN,0,1,chunk-3224-3208-20260828-102221
1248,null,GROUND,3229,3216,2,2,,UNKNOWN,0,1,chunk-3224-3216-20260828-103417
1248,null,GROUND,3229,3220,2,3,,UNKNOWN,0,1,chunk-3224-3216-20260828-103417
1248,null,GROUND,3229,3221,2,0,,UNKNOWN,0,1,chunk-3224-3216-20260828-103417
1248,null,GROUND,3230,3217,2,1,,UNKNOWN,0,1,chunk-3224-3216-20260828-103417
1276,Tree,GAME,3247,3231,0,0,8|60,FOLIAGE,1,1,chunk-3240-3224-20260828-095506
1278,Tree,GAME,3212,3232,0,1024,8|60,FOLIAGE,1,2,chunk-3208-3232-20260828-095430|chunk-3208-3232-20260828-103429
1278,Tree,GAME,3213,3238,0,512,8|60,FOLIAGE,1,2,chunk-3208-3232-20260828-095430|chunk-3208-3232-20260828-103429
1278,Tree,GAME,3217,3231,0,1024,8|60,FOLIAGE,1,2,chunk-3216-3224-20260828-102155|chunk-3216-3232-20260828-095423
12961,Crate,GAME,3204,3213,0,1536,,UNKNOWN,0,1,chunk-3200-3208-20260828-102210
12961,Crate,GAME,3205,3212,0,1024,,UNKNOWN,0,1,chunk-3200-3208-20260828-102210
1300,Fern,GAME,3223,3234,0,1024,,UNKNOWN,0,1,chunk-3216-3232-20260828-095423
1393,Plant,GAME,3229,3211,0,1024,,UNKNOWN,0,1,chunk-3224-3208-20260828-102221
1393,Plant,GAME,3231,3209,0,1024,,UNKNOWN,0,1,chunk-3224-3208-20260828-102221
1394,Plant,GAME,3221,3235,0,1024,,UNKNOWN,0,1,chunk-3216-3232-20260828-095423
14868,Sink,GAME,3205,3215,0,0,1,WATER,0,2,chunk-3200-3208-20260828-102210|chunk-3200-3216-20260828-095435
14869,Shelves,GAME,3205,3213,0,0,,UNKNOWN,0,1,chunk-3200-3208-20260828-102210
14872,Stool,GAME,3206,3215,0,1024,,UNKNOWN,0,1,chunk-3200-3208-20260828-102210
14875,null,GROUND,3205,3212,0,0,,UNKNOWN,0,1,chunk-3200-3208-20260828-102210
14875,null,GROUND,3205,3216,0,0,,UNKNOWN,0,1,chunk-3200-3216-20260828-095435
14875,null,GROUND,3206,3214,0,3,,UNKNOWN,0,1,chunk-3200-3208-20260828-102210
14875,null,GROUND,3206,3216,0,3,,UNKNOWN,0,1,chunk-3200-3216-20260828-095435
14875,null,GROUND,3207,3215,0,1,,UNKNOWN,0,1,chunk-3200-3208-20260828-102210
14876,null,GROUND,3205,3213,0,1,,UNKNOWN,0,1,chunk-3200-3208-20260828-102210
14876,null,GROUND,3206,3212,0,0,,UNKNOWN,0,1,chunk-3200-3208-20260828-102210
14876,null,GROUND,3207,3214,0,3,,UNKNOWN,0,1,chunk-3200-3208-20260828-102210
14876,null,GROUND,3207,3216,0,3,,UNKNOWN,0,1,chunk-3200-3216-20260828-095435
14877,null,GROUND,3205,3214,0,2,,UNKNOWN,0,1,chunk-3200-3208-20260828-102210
14877,null,GROUND,3206,3213,0,1,,UNKNOWN,0,1,chunk-3200-3208-20260828-102210
14877,null,GROUND,3206,3215,0,0,,UNKNOWN,0,1,chunk-3200-3208-20260828-102210
14877,null,GROUND,3207,3212,0,0,,UNKNOWN,0,1,chunk-3200-3208-20260828-102210
14878,null,GROUND,3205,3217,0,0,,UNKNOWN,0,1,chunk-3200-3216-20260828-095435
14878,null,GROUND,3206,3217,0,0,,UNKNOWN,0,1,chunk-3200-3216-20260828-095435
14878,null,GROUND,3207,3217,0,0,,UNKNOWN,0,1,chunk-3200-3216-20260828-095435
14881,null,DECORATIVE,3237,3209,0,2,,UNKNOWN,0,1,chunk-3232-3208-20260828-095402
14881,null,DECORATIVE,3237,3211,0,2,,UNKNOWN,0,1,chunk-3232-3208-20260828-095402
1529,null,WALL,3216,3218,0,8|0,,UNKNOWN,0,2,chunk-3216-3216-20260828-095414|chunk-3216-3216-20260828-102146
1530,null,WALL,3216,3219,0,2|0,,UNKNOWN,0,2,chunk-3216-3216-20260828-095414|chunk-3216-3216-20260828-102146
1535,Door,WALL,3207,3210,1,4|0,,UNKNOWN,0,1,chunk-3200-3208-20260828-102210
1535,Door,WALL,3207,3227,1,4|0,,UNKNOWN,0,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
1535,Door,WALL,3226,3214,0,4|0,,UNKNOWN,0,1,chunk-3224-3208-20260828-102221
1535,Door,WALL,3226,3223,0,4|0,,UNKNOWN,0,1,chunk-3224-3216-20260828-103417
1535,Door,WALL,3234,3207,0,1|0,,UNKNOWN,0,1,chunk-3232-3200-20260828-102136
1536,Door,WALL,3233,3203,0,2|0,,UNKNOWN,0,1,chunk-3232-3200-20260828-102136
1540,Door,WALL,3238,3210,0,1|0,,UNKNOWN,0,1,chunk-3232-3208-20260828-095402
1543,Door,WALL,3207,3214,1,4|0,4,UNKNOWN,0,1,chunk-3200-3208-20260828-102210
1543,Door,WALL,3207,3222,1,4|0,4,UNKNOWN,0,1,chunk-3200-3216-20260828-095435
1548,null,WALL,3201,3218,0,8|0,,UNKNOWN,0,1,chunk-3200-3216-20260828-095435
1556,null,WALL,3230,3218,1,1|0,2,STONE,5,1,chunk-3224-3216-20260828-103417
1557,null,WALL,3230,3219,1,1|0,2,STONE,5,1,chunk-3224-3216-20260828-103417
16392,null,GROUND,3243,3229,0,0,,UNKNOWN,0,1,chunk-3240-3224-20260828-095506
16395,null,GROUND,3245,3224,0,0,,UNKNOWN,0,1,chunk-3240-3224-20260828-095506
16407,null,GROUND,3218,3220,2,0,,UNKNOWN,0,2,chunk-3216-3216-20260828-095414|chunk-3216-3216-20260828-102146
16407,null,GROUND,3233,3218,1,0,,UNKNOWN,0,1,chunk-3232-3216-20260828-102126
16438,null,GROUND,3224,3220,2,0,,UNKNOWN,0,1,chunk-3224-3216-20260828-103417
1651,null,WALL,3200,3216,1,2|0,2,STONE,1,1,chunk-3200-3216-20260828-095435
1651,null,WALL,3200,3220,1,8|0,2,STONE,1,1,chunk-3200-3216-20260828-095435
1651,null,GAME,3201,3203,1,1536,2,STONE,1,1,chunk-3200-3200-20260828-095443
1651,null,WALL,3201,3204,1,1|0,2,STONE,1,1,chunk-3200-3200-20260828-095443
1651,null,WALL,3201,3205,1,1|0,2,STONE,1,1,chunk-3200-3200-20260828-095443
1651,null,WALL,3201,3206,1,1|0,2,STONE,1,1,chunk-3200-3200-20260828-095443
1651,null,WALL,3201,3207,1,1|0,2,STONE,1,1,chunk-3200-3200-20260828-095443
1651,null,WALL,3201,3208,1,1|0,2,STONE,1,1,chunk-3200-3208-20260828-102210
1651,null,WALL,3201,3209,1,1|0,2,STONE,1,1,chunk-3200-3208-20260828-102210
1651,null,WALL,3201,3210,1,1|0,2,STONE,1,1,chunk-3200-3208-20260828-102210
1651,null,WALL,3201,3211,1,1|0,2,STONE,1,1,chunk-3200-3208-20260828-102210
1651,null,WALL,3201,3212,1,1|0,2,STONE,1,1,chunk-3200-3208-20260828-102210
1651,null,WALL,3201,3213,1,1|0,2,STONE,1,1,chunk-3200-3208-20260828-102210
1651,null,WALL,3201,3214,1,1|0,2,STONE,1,1,chunk-3200-3208-20260828-102210
1651,null,WALL,3201,3215,1,1|0,2,STONE,1,1,chunk-3200-3208-20260828-102210
1651,null,WALL,3201,3216,1,1|0,2,STONE,1,1,chunk-3200-3216-20260828-095435
1651,null,WALL,3201,3217,1,1|0,2,STONE,1,1,chunk-3200-3216-20260828-095435
1651,null,WALL,3201,3218,1,1|0,2,STONE,1,1,chunk-3200-3216-20260828-095435
1651,null,WALL,3201,3219,1,1|0,2,STONE,1,1,chunk-3200-3216-20260828-095435
1651,null,WALL,3201,3220,1,1|0,2,STONE,1,1,chunk-3200-3216-20260828-095435
1651,null,WALL,3201,3221,1,1|0,2,STONE,1,1,chunk-3200-3216-20260828-095435
1651,null,WALL,3201,3222,1,1|0,2,STONE,1,1,chunk-3200-3216-20260828-095435
1651,null,WALL,3201,3223,1,1|0,2,STONE,1,1,chunk-3200-3216-20260828-095435
1651,null,WALL,3201,3224,1,1|0,2,STONE,1,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
1651,null,WALL,3201,3225,1,1|0,2,STONE,1,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
1651,null,WALL,3201,3226,1,1|0,2,STONE,1,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
1651,null,WALL,3201,3227,1,1|0,2,STONE,1,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
1651,null,WALL,3201,3228,1,1|0,2,STONE,1,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
1651,null,WALL,3201,3229,1,1|0,2,STONE,1,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
1651,null,WALL,3201,3230,1,1|0,2,STONE,1,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
1651,null,WALL,3201,3231,1,1|0,2,STONE,1,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
1651,null,GAME,3202,3202,1,1536,2,STONE,1,1,chunk-3200-3200-20260828-095443
1651,null,WALL,3202,3203,1,128|0,2,STONE,1,1,chunk-3200-3200-20260828-095443
1651,null,GAME,3203,3201,1,1536,2,STONE,1,1,chunk-3200-3200-20260828-095443
1651,null,WALL,3203,3202,1,128|0,2,STONE,1,1,chunk-3200-3200-20260828-095443
1651,null,WALL,3204,3201,1,8|0,2,STONE,1,1,chunk-3200-3200-20260828-095443
1651,null,WALL,3205,3201,1,8|0,2,STONE,1,1,chunk-3200-3200-20260828-095443
1651,null,WALL,3206,3201,1,8|0,2,STONE,1,1,chunk-3200-3200-20260828-095443
1651,null,WALL,3207,3201,1,8|0,2,STONE,1,1,chunk-3200-3200-20260828-095443
1651,null,WALL,3208,3201,1,8|0,2,STONE,1,1,chunk-3208-3200-20260828-102215
1651,null,WALL,3208,3236,1,2|0,2,STONE,1,2,chunk-3208-3232-20260828-095430|chunk-3208-3232-20260828-103429
1651,null,WALL,3209,3201,1,8|0,2,STONE,1,1,chunk-3208-3200-20260828-102215
1651,null,WALL,3209,3236,1,2|0,2,STONE,1,2,chunk-3208-3232-20260828-095430|chunk-3208-3232-20260828-103429
1651,null,WALL,3210,3201,1,8|0,2,STONE,1,1,chunk-3208-3200-20260828-102215
1651,null,WALL,3210,3236,1,2|0,2,STONE,1,2,chunk-3208-3232-20260828-095430|chunk-3208-3232-20260828-103429
1651,null,WALL,3211,3201,1,8|0,2,STONE,1,1,chunk-3208-3200-20260828-102215
1651,null,WALL,3211,3236,1,2|0,2,STONE,1,2,chunk-3208-3232-20260828-095430|chunk-3208-3232-20260828-103429
1651,null,WALL,3212,3201,1,8|0,2,STONE,1,1,chunk-3208-3200-20260828-102215
1651,null,WALL,3212,3236,1,2|0,2,STONE,1,2,chunk-3208-3232-20260828-095430|chunk-3208-3232-20260828-103429
1651,null,GAME,3213,3201,1,1024,2,STONE,1,1,chunk-3208-3200-20260828-102215
1651,null,WALL,3213,3202,1,64|0,2,STONE,1,1,chunk-3208-3200-20260828-102215
1651,null,WALL,3213,3235,1,32|0,2,STONE,1,2,chunk-3208-3232-20260828-095430|chunk-3208-3232-20260828-103429
1651,null,GAME,3213,3236,1,512,2,STONE,1,2,chunk-3208-3232-20260828-095430|chunk-3208-3232-20260828-103429
1651,null,GAME,3214,3202,1,1024,2,STONE,1,1,chunk-3208-3200-20260828-102215
1651,null,WALL,3214,3203,1,64|0,2,STONE,1,1,chunk-3208-3200-20260828-102215
1651,null,WALL,3214,3234,1,32|0,2,STONE,1,2,chunk-3208-3232-20260828-095430|chunk-3208-3232-20260828-103429
1651,null,GAME,3214,3235,1,512,2,STONE,1,2,chunk-3208-3232-20260828-095430|chunk-3208-3232-20260828-103429
1651,null,WALL,3215,3203,1,8|0,2,STONE,1,1,chunk-3208-3200-20260828-102215
1651,null,WALL,3215,3234,1,2|0,2,STONE,1,2,chunk-3208-3232-20260828-095430|chunk-3208-3232-20260828-103429
1651,null,WALL,3216,3203,1,8|0,2,STONE,1,1,chunk-3216-3200-20260828-095451
1651,null,WALL,3216,3234,1,2|0,2,STONE,1,1,chunk-3216-3232-20260828-095423
1651,null,WALL,3217,3203,1,8|0,2,STONE,1,1,chunk-3216-3200-20260828-095451
1651,null,WALL,3217,3234,1,2|0,2,STONE,1,1,chunk-3216-3232-20260828-095423
1651,null,WALL,3218,3203,1,8|0,2,STONE,1,1,chunk-3216-3200-20260828-095451
1651,null,WALL,3218,3234,1,2|0,2,STONE,1,1,chunk-3216-3232-20260828-095423
1651,null,WALL,3219,3203,1,8|0,2,STONE,1,1,chunk-3216-3200-20260828-095451
1651,null,WALL,3219,3234,1,2|0,2,STONE,1,1,chunk-3216-3232-20260828-095423
1651,null,WALL,3220,3203,1,8|0,2,STONE,1,1,chunk-3216-3200-20260828-095451
1651,null,WALL,3220,3234,1,2|0,2,STONE,1,1,chunk-3216-3232-20260828-095423
1651,null,GAME,3221,3203,1,1024,2,STONE,1,1,chunk-3216-3200-20260828-095451
1651,null,WALL,3221,3204,1,64|0,2,STONE,1,1,chunk-3216-3200-20260828-095451
1651,null,WALL,3221,3233,1,32|0,2,STONE,1,1,chunk-3216-3232-20260828-095423
1651,null,GAME,3221,3234,1,512,2,STONE,1,1,chunk-3216-3232-20260828-095423
1651,null,GAME,3222,3204,1,1024,2,STONE,1,1,chunk-3216-3200-20260828-095451
1651,null,WALL,3222,3205,1,64|0,2,STONE,1,1,chunk-3216-3200-20260828-095451
1651,null,WALL,3222,3232,1,32|0,2,STONE,1,1,chunk-3216-3232-20260828-095423
1651,null,GAME,3222,3233,1,512,2,STONE,1,1,chunk-3216-3232-20260828-095423
1651,null,GAME,3223,3205,1,1024,2,STONE,1,1,chunk-3216-3200-20260828-095451
1651,null,WALL,3223,3206,1,64|0,2,STONE,1,1,chunk-3216-3200-20260828-095451
1651,null,WALL,3223,3231,1,32|0,2,STONE,1,1,chunk-3216-3224-20260828-102155
1651,null,GAME,3223,3232,1,512,2,STONE,1,1,chunk-3216-3232-20260828-095423
1651,null,WALL,3225,3208,1,64|0,2,STONE,1,1,chunk-3224-3208-20260828-102221
1651,null,GAME,3226,3208,1,1024,2,STONE,1,1,chunk-3224-3208-20260828-102221
1651,null,WALL,3226,3209,1,4|0,2,STONE,1,1,chunk-3224-3208-20260828-102221
1651,null,WALL,3226,3210,1,4|0,2,STONE,1,1,chunk-3224-3208-20260828-102221
1651,null,WALL,3226,3211,1,4|0,2,STONE,1,1,chunk-3224-3208-20260828-102221
1651,null,WALL,3226,3212,1,4|0,2,STONE,1,1,chunk-3224-3208-20260828-102221
16672,Staircase,GAME,3204,3207,1,1536,11,STONE,5,2,chunk-3200-3200-20260828-095443|chunk-3200-3208-20260828-102210
16672,Staircase,GAME,3204,3229,1,0,11,STONE,5,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
16679,Ladder,GAME,3229,3213,2,0,16,WOOD,1,1,chunk-3224-3208-20260828-102221
16683,Ladder,GAME,3229,3213,0,0,16,WOOD,1,1,chunk-3224-3208-20260828-102221
16684,Ladder,GAME,3229,3213,1,1024,16,WOOD,1,1,chunk-3224-3208-20260828-102221
1790,null,GAME,3239,3208,1,512,6,STONE,5,1,chunk-3232-3208-20260828-095402
1790,null,GAME,3239,3212,1,1024,6,STONE,5,1,chunk-3232-3208-20260828-095402
1821,null,DECORATIVE,3230,3208,0,1,,UNKNOWN,0,1,chunk-3224-3208-20260828-102221
1821,null,DECORATIVE,3230,3209,0,3,,UNKNOWN,0,1,chunk-3224-3208-20260828-102221
1821,null,DECORATIVE,3232,3200,0,1,,UNKNOWN,0,1,chunk-3232-3200-20260828-102136
1821,null,DECORATIVE,3232,3201,0,3,,UNKNOWN,0,1,chunk-3232-3200-20260828-102136
1821,null,DECORATIVE,3232,3205,1,1,,UNKNOWN,0,1,chunk-3232-3200-20260828-102136
1821,null,DECORATIVE,3232,3206,1,3,,UNKNOWN,0,1,chunk-3232-3200-20260828-102136
1821,null,DECORATIVE,3232,3208,0,1,,UNKNOWN,0,1,chunk-3232-3208-20260828-095402
1821,null,DECORATIVE,3232,3209,0,3,,UNKNOWN,0,1,chunk-3232-3208-20260828-095402
1821,null,DECORATIVE,3233,3200,1,1,,UNKNOWN,0,1,chunk-3232-3200-20260828-102136
1821,null,DECORATIVE,3233,3201,1,3,,UNKNOWN,0,1,chunk-3232-3200-20260828-102136
1821,null,DECORATIVE,3233,3202,1,2,,UNKNOWN,0,1,chunk-3232-3200-20260828-102136
1821,null,DECORATIVE,3233,3204,1,2,,UNKNOWN,0,1,chunk-3232-3200-20260828-102136
1821,null,DECORATIVE,3234,3202,1,0,,UNKNOWN,0,1,chunk-3232-3200-20260828-102136
1821,null,DECORATIVE,3234,3204,1,0,,UNKNOWN,0,1,chunk-3232-3200-20260828-102136
18492,Closed booth,GAME,3207,3221,2,1024,7,WOOD,1,1,chunk-3200-3216-20260828-095435
1873,null,DECORATIVE,3203,3207,0,2,,UNKNOWN,0,1,chunk-3200-3200-20260828-095443
1902,null,WALL,3207,3212,1,4|0,2,STONE,1,1,chunk-3200-3208-20260828-102210
1902,null,WALL,3207,3213,1,4|0,2,STONE,1,1,chunk-3200-3208-20260828-102210
1902,null,WALL,3207,3215,1,4|0,2,STONE,1,1,chunk-3200-3208-20260828-102210
1902,null,WALL,3207,3216,1,4|0,2,STONE,1,1,chunk-3200-3216-20260828-095435
1902,null,WALL,3207,3217,1,4|0,2,STONE,1,1,chunk-3200-3216-20260828-095435
1902,null,WALL,3207,3218,1,4|0,2,STONE,1,1,chunk-3200-3216-20260828-095435
1902,null,WALL,3207,3219,1,4|0,2,STONE,1,1,chunk-3200-3216-20260828-095435
1902,null,WALL,3207,3220,1,4|0,2,STONE,1,1,chunk-3200-3216-20260828-095435
1902,null,WALL,3207,3221,1,4|0,2,STONE,1,1,chunk-3200-3216-20260828-095435
1902,null,WALL,3207,3223,1,4|0,2,STONE,1,1,chunk-3200-3216-20260828-095435
1902,null,WALL,3207,3224,1,4|0,2,STONE,1,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
1902,null,WALL,3207,3225,1,4|0,2,STONE,1,2,chunk-3200-3224-20260828-102202|chunk-3200-3224-20260828-103437
1902,null,WALL,3228,3208,0,4|0,2,STONE,1,1,chunk-3224-3208-20260828-102221
1902,null,WALL,3228,3209,0,64|0,2,STONE,1,1,chunk-3224-3208-20260828-102221
1902,null,WALL,3229,3209,0,8|0,2,STONE,1,1,chunk-3224-3208-20260828-102221
1902,null,WALL,3230,3209,0,8|0,2,STONE,1,1,chunk-3224-3208-20260828-102221
1902,null,WALL,3231,3209,0,8|0,2,STONE,1,1,chunk-3224-3208-20260828-102221
1902,null,WALL,3232,3200,0,2|0,2,STONE,1,1,chunk-3232-3200-20260828-102136
1902,null,WALL,3232,3200,1,2|0,2,STONE,1,1,chunk-3232-3200-20260828-102136
1902,null,WALL,3232,3205,0,2|0,2,STONE,1,1,chunk-3232-3200-20260828-102136
1902,null,WALL,3232,3205,1,2|0,2,STONE,1,1,chunk-3232-3200-20260828-102136
1902,null,WALL,3232,3209,0,8|0,2,STONE,1,1,chunk-3232-3208-20260828-095402
1902,null,WALL,3233,3200,0,2|0,2,STONE,1,1,chunk-3232-3200-20260828-102136
1902,null,WALL,3233,3200,1,2|0,2,STONE,1,1,chunk-3232-3200-20260828-102136
1902,null,WALL,3233,3205,0,2|0,2,STONE,1,1,chunk-3232-3200-20260828-102136
1902,null,WALL,3233,3205,1,2|0,2,STONE,1,1,chunk-3232-3200-20260828-102136
1902,null,WALL,3233,3209,0,8|0,2,STONE,1,1,chunk-3232-3208-20260828-095402
1902,null,WALL,3234,3200,0,16|0,2,STONE,1,1,chunk-3232-3200-20260828-102136
1902,null,WALL,3234,3200,1,16|0,2,STONE,1,1,chunk-3232-3200-20260828-102136
1902,null,WALL,3234,3201,0,1|0,2,STONE,1,1,chunk-3232-3200-20260828-102136
1902,null,WALL,3234,3201,1,1|0,2,STONE,1,1,chunk-3232-3200-20260828-102136
1902,null,WALL,3234,3202,0,1|0,2,STONE,1,1,chunk-3232-3200-20260828-102136
1902,null,WALL,3234,3202,1,1|0,2,STONE,1,1,chunk-3232-3200-20260828-102136
1902,null,WALL,3234,3203,1,1|0,2,STONE,1,1,chunk-3232-3200-20260828-102136
1902,null,WALL,3234,3204,0,1|0,2,STONE,1,1,chunk-3232-3200-20260828-102136
1902,null,WALL,3234,3204,1,1|0,2,STONE,1,1,chunk-3232-3200-20260828-102136
1902,null,WALL,3234,3205,0,1|0,2,STONE,1,1,chunk-3232-3200-20260828-102136
1902,null,WALL,3234,3205,1,1|0,2,STONE,1,1,chunk-3232-3200-20260828-102136
1902,null,WALL,3234,3206,0,1|0,2,STONE,1,1,chunk-3232-3200-20260828-102136
1902,null,WALL,3234,3208,0,1|0,2,STONE,1,1,chunk-3232-3208-20260828-095402
1902,null,WALL,3234,3209,0,128|0,2,STONE,1,1,chunk-3232-3208-20260828-095402
1902,null,WALL,3238,3208,0,2|0,2,STONE,1,1,chunk-3232-3208-20260828-095402
1902,null,WALL,3238,3209,0,1|0,2,STONE,1,1,chunk-3232-3208-20260828-095402
1902,null,WALL,3238,3211,0,1|0,2,STONE,1,1,chunk-3232-3208-20260828-095402
1902,null,WALL,3238,3212,0,8|0,2,STONE,1,1,chunk-3232-3208-20260828-095402
1902,null,WALL,3239,3204,0,4|0,2,STONE,1,1,chunk-3232-3200-20260828-102136
1902,null,WALL,3239,3206,0,4|0,2,STONE,1,1,chunk-3232-3200-20260828-102136
